z,E,E_lo,E_hi,nu_iz,nu_iz_lo,nu_iz_hi
0.017,791.7295994207827,-1131.8125067578949,2197.231343514964,460255.9477162123,21144.070935335105,856641.4217781117
0.019000000000000003,16150.46504841192,13116.744928813228,18771.82566170722,2072203.7621731944,1462140.5289115943,2552011.4736292954
0.021,22412.745505755563,20994.94626446618,24143.893180410814,484087.55957950593,330853.4959519608,653528.6691855177
0.023,21889.58430593255,20232.386928733227,24338.711457808236,266331.9283397929,80887.6417446731,450283.3667239873
0.025,16471.390677484895,14049.321285733246,17808.19716950552,115104.64157131559,21087.3549453187,185460.45818559112
0.027000000000000003,14097.813057945474,12823.363273698256,15463.8699437269,74419.63063529838,15542.879551217868,127088.43166394955
0.029,10085.752476852165,8815.72410760249,11051.878636579964,26333.099246634665,1948.2440155146105,73592.14634002217
0.031,7511.711142524933,5574.980892560061,9185.901255443881,17050.51045304598,721.0893151578174,56015.67404359821
0.035,4965.6567246266895,3954.7826136695294,6084.341530805271,13898.51432357385,1395.1002829364802,38567.33732760073
0.039,2082.5144351366107,937.3237851671597,2877.9023251380017,9284.970547867313,649.6631074856326,30659.51386644734
0.043,2194.930763721277,1173.5887021951276,3008.6399303485246,30843.286515221815,9799.638593383055,59638.399137850654
0.047,1347.9797007133952,45.75129824469025,2631.6994130952658,16578.784965460625,1302.5318998814578,46919.20528113984
0.055,314.8715984687808,-621.0025078458099,1428.1234386707308,7832.669603517725,808.9612210877941,28782.375051397994
0.065,-1934.5261763935255,-3328.315226853547,-772.7770594967592,35721.5708332834,8261.13529436547,70594.52337620893
0.07500000000000001,3980.1435974410215,-993.7332747439924,8934.639006511135,121925.46146162628,12846.309219470582,249656.6727167992
