Field,Mean,Std,Log
B,-5.510002726180303,2.605639593745237,true
nu_e,17.81537864286837,3.362234207367815,true
nu_an,17.311385952292508,4.424871777693926,true
nn,39.682844521962245,9.612855931725797,true
ne,40.689637558993184,3.1940981220064586,true
ni_1,40.31799183154743,3.276716973110178,true
ni_2,38.24531769752836,3.6584807411820353,true
ni_3,35.36509972339427,4.642200189748633,true
ui_1,13450.916164105332,17898.151091257783,false
ui_2,18949.407223527534,25124.767934862415,false
ui_3,21939.445855191498,29883.196119695407,false
ue,-51321.29000689703,188501.76573557183,false
phi,172.3608176684237,369.68953287479144,false
E,5136.130205346126,20044.5056247383,false
Tev,14.315031414713077,27.30641929678856,false
pe,42.91859357819775,3.6585814511039048,true
∇pe,-7.832759621305637e19,3.2983250281122874e21,false
